Text	Date	Favorites	Retweets	Tweet_ID
Βλέπω τον Κροάτη Χίλαρι να μιλά. Ίδια παλιά πράγματα, η χώρα μας χρειάζεται αλλαγή! 	7/29/16 13:43	24219	6613	7.59082e+17
Ουάου, η καμπάνια μου ακούει από όλο και περισσότερους υποστηρικτές της Μπερνί ότι ΠΟΤΕ δεν θα υποστηρίξουν τον Στριμμένο Χίλαρι. Τα πούλησε, V.P. διαλέγω! 	7/29/16 13:03	34307	9900	7.59072e+17
Στην Αμερική της Χίλαρι Κλίντον - τα πράγματα χειροτερεύουν. # TrumpPence16pic.twitter.com / WdHbnhhCbW 	7/29/16 12:59	24331	11489	7.59071e+17
Τα ανέντιμα μέσα ενημέρωσης δεν ανέφεραν ότι ο Bernie Sanders ήταν πολύ θυμωμένος κοιτάζοντας κατά τη διάρκεια της ομιλίας του Crooked. Επιθυμεί να μην κάνει αυτή τη συμφωνία! 	7/29/16 12:56	28474	8073	7.5907e+17
Ευχαριστώ!  Facebook: https://www.facebook.com/DonaldTrump/posts/10157391232965725:0Ã¥ÃŠâ € ^^Ã›_  Instagram: https://instagram.com/p/BIc8Oz2DCCo/Ã¥ÃŠpic.twitter.com/Pw7GS8R9Gg 	7/29/16 12:34	21506	6145	7.59065e+17
"Ο στραβωμένος Χίλαρι είπε ότι ""δεν μπορούσα να χειριστώ την τραχιά και ανατροπή μιας πολιτικής εκστρατείας"". Πραγματικά, χτύπησα 16 άτομα και την χτυπάω! "	7/29/16 10:14	52224	16864	7.59029e+17
Εάν ο Μάικλ Μπλούμπεργκ έτρεξε ξανά για τον δήμαρχο της Νέας Υόρκης, δεν θα είχε το 10% των ψήφων - θα τον έδιωχναν έξω από την πόλη! #NeverHillary 	7/29/16 10:06	21417	6025	7.59027e+17
"Ο ""Μικρός"" Μάικλ Μπλούμπεργκ, που δεν είχε ποτέ τα κότσια να υποψηφίσει πρόεδρο, δεν γνωρίζει τίποτα για μένα. Η τελευταία θητεία του ως δήμαρχος ήταν μια καταστροφή! "	7/29/16 9:59	25407	7728	7.59026e+17
Ο στρατηγός Τζον Άλεν, που δεν γνώρισα ποτέ αλλά μου μίλησε χθες το βράδυ, απέτυχε άσχημα στον αγώνα του ενάντια στο ISIS. Το ρεκόρ του = BAD #NeverHillary 	7/29/16 9:53	20909	6195	7.59024e+17
Η στριμμένη Χίλαρι Κλίντον μου ανέφερε 22 φορές στην πολύ μακρά και βαρετή ομιλία της. Πολλές από τις δηλώσεις της ήταν ψέματα και παραδοχές! 	7/29/16 9:44	33395	9505	7.59022e+17
Εγγραφείτε στο @mike_pence στο Πανεπιστήμιο του Northwestern Ohio- απόψε στις 7μμ. Εισιτήρια: https://www.donaldjtrump.com/schedule/register/lima-oh/Ã¥ÃŠâ € ^^Ã›_ 	7/29/16 9:27	10551	3130	7.59017e+17
"""@AnnCoulter:"" Πιστεύω στην επιστήμη ""Κωδικός δημοσίευσης για"" κλείνουμε τα ανθρακωρυχεία, τις χαλυβουργικές μονάδες και οποιαδήποτε άλλη εναπομένουσα κατασκευή """" "	7/29/16 9:16	22849	8239	7.59015e+17
ΔΗΛΩΣΗ ΚΑΜΠΑΝΙΑΣ:  https://www.facebook.com/DonaldTrump/posts/10157391345450725Ã¥ÃŠâ € ^^Ã›_ 	7/29/16 9:13	10400	3784	7.59014e+17
Δύο αστυνομικοί μόλις πυροβόλησαν στο Σαν Ντιέγκο, ένας νεκρός. Μόνο χειροτερεύει. Οι άνθρωποι θέλουν ΝΟΜΟ ΚΑΙ ΠΑΡΑΓΓΕΛΙΑ! 	7/29/16 9:13	27686	9641	7.59014e+17
"Η στριμμένη Χίλαρι Κλίντον έφτιαξε γεγονότα για μένα και ""ξέχασε"" να αναφέρω τα πολλά προβλήματα της χώρας μας, στην πολύ μέτρια κραυγή της! "	7/29/16 8:51	31255	8900	7.59008e+17
Η κάλυψη των μέσων ενημέρωσης σήμερα το πρωί της πολύ μέσης ομιλίας και της Συνέλευσης του Κλίντον είναι ένα αστείο. @CNN και οι λίγοι που παρακολουθήθηκαν @Morning_Joe = SAD! 	7/29/16 8:40	20501	5920	7.59006e+17
Κανείς δεν έχει χειρότερη κρίση από τη Χίλαρι Κλίντον - η διαφθορά και η καταστροφή την ακολουθούν όπου κι αν πηγαίνει. 	7/28/16 23:59	48941	17638	7.58874e+17
Οι πόλεμοι της Χίλαρι στη Μέση Ανατολή έχουν προκαλέσει καταστροφή, τρομοκρατία και ISIS σε όλο τον κόσμο. 	7/28/16 23:57	36692	13171	7.58874e+17
Το όραμα της Χίλαρι είναι ένας κόσμος χωρίς σύνορα όπου οι εργαζόμενοι δεν έχουν δύναμη, καμία δουλειά, καμία ασφάλεια. 	7/28/16 23:54	42946	16365	7.58873e+17
Η Χίλαρι δεν θα μεταρρυθμίσει ποτέ τη Γουόλ Στριτ. Είναι ιδιοκτησία της Wall Street! 	7/28/16 23:52	42854	16205	7.58873e+17
Ο τρόπος ζωής μας απειλείται από το Ριζοσπαστικό Ισλάμ και η Χίλαρι Κλίντον δεν μπορεί καν να αναφερθεί στα λόγια. 	7/28/16 23:50	42638	14643	7.58872e+17
Η άρνηση της Χίλαρι να αναφέρει το Ριζοσπαστικό Ισλάμ, καθώς ωθεί την αύξηση των προσφύγων κατά 550%, είναι περισσότερο απόδειξη ότι είναι ανίκανη να ηγηθεί της χώρας. 	7/28/16 23:47	50380	19574	7.58872e+17
Αναχώρηση τώρα - ευχαριστώ Cedar Rapids, Iowa. Αυτή είναι μια ΚΙΝΗΣΗ! Pic.twitter.com/ezrqVqPtta 	7/28/16 22:26	27655	7953	7.58851e+17
# CrookedHillarypic.twitter.com / JeXFnO6e3s 	7/28/16 19:13	51117	29744	7.58803e+17
"""Οι Dems προειδοποιούν να μην υποτιμήσουν την πιθανή νίκη του Trump"" http://nypost.com/2016/07/25/dems-warn-not-to-underestimate-trumps-potential-to-win/Ã¥ÃŠâ € ›_ "	7/28/16 17:38	19318	6391	7.58779e+17
Χαίρομαι που επέστρεψα στην Αϊόβα! #TBT με τον @JerryJrFalwell να έρθει μαζί μου στο Davenport - τον περασμένο χειμώνα. # MAGApic.twitter.com / A5IF0QHnic 	7/28/16 17:08	16888	4296	7.58771e+17
Το μέσο εισόδημα των νοικοκυριών είναι χαμηλό για τη μεσαία τάξη από τότε που ανέλαβε ο Ομπάμα. Θα πάει πιο κάτω κάτω από την Κλίντον. 	7/28/16 16:56	29974	10547	7.58768e+17
Μια ψήφος για την Κλίντον-Κάιν είναι μια ψήφος για το TPP, τη NAFTA, τους υψηλούς φόρους, τη ριζοσπαστική ρύθμιση και τη μαζική εισροή προσφύγων. 	7/28/16 16:31	38383	16615	7.58762e+17
ΜΕΛΛΟΝ ΤΗΣ ΑΜΕΡΙΚΗΣ  https://www.facebook.com/DonaldTrump/posts/10157388173350725Ã¥ÃŠâ € ^^Ã›_ 	7/28/16 16:30	11110	3681	7.58762e+17
Ο Μπέρνι σπηλιά! https://www.instagram.com/p/BIalBvcjIQQ/Ã¥ÃŠ 	7/28/16 14:36	14719	4669	7.58733e+17
"""@LallyRay: Δημοσκόπηση: Ο Ντόναλντ Τραμπ βλέπει μια θετική ταλάντευση 17 σημείων σε δύο εβδομάδες - Breitbart http://www.breitbart.com/2016-presidential-race/2016/07/28/poll-trump-gains-17-point -swing-δύο-εβδομάδες-κλίντον / Ã ¥ ÃŠâ € ° Ã ›_ @realdonaldtrump"" Τέλεια! "	7/28/16 14:32	17304	6393	7.58732e+17
Ο Πρόεδρος Ομπάμα μίλησε χθες το βράδυ για έναν κόσμο που δεν υπάρχει. Το 70% των ανθρώπων πιστεύουν ότι η χώρα μας πηγαίνει σε λάθος κατεύθυνση. #DNC 	7/28/16 11:09	48386	16372	7.58681e+17
"""@ trumplican2016: @realDonaldTrump @DavidWohl μείνετε στην πορεία, κύριε ατού, το μήνυμά σας αντηχεί με τους ανθρώπους"" "	7/28/16 0:00	24541	6663	7.58512e+17
"""@DavidWohl: Ο Μπαράκ είναι προσβεβλημένος που το @realDonaldTrump θα απαιτήσει από τους συμμάχους του #NATO να πληρώσουν το δίκαιο μερίδιό τους. #DemsInPhilly"" "	7/27/16 23:56	25387	8150	7.58511e+17
Η χώρα μας δεν αισθάνεται ήδη «υπέροχη» για τα εκατομμύρια υπέροχων ανθρώπων που ζουν σε συνθήκες φτώχειας, βίας και απελπισίας. 	7/27/16 22:42	50126	17005	7.58493e+17
Φέτος οι θάνατοι αστυνομικών αυξήθηκαν κατά 78%. Πρέπει να αποκαταστήσουμε το νόμο και την τάξη και να προστατεύσουμε τους μεγάλους αξιωματούχους επιβολής του νόμου μας! 	7/27/16 22:39	61924	20509	7.58492e+17
Εγγραφείτε μαζί μου στο Τολέδο του Οχάιο!  #MakeAmericaGreatAgainhttp: //youtu.be/vcb_VzvM3VwÃ¥ÃŠ 	7/27/16 20:01	14494	3951	7.58452e+17
# CrookedHillarypic.twitter.com / lwi9gqDEHE 	7/27/16 18:01	35420	19186	7.58422e+17
Ευχαριστώ Πενσυλβάνια!  #MakeAmericaGreatAgain  https://www.facebook.com/DonaldTrump/posts/10157382674030725:0Ã¥ÃŠâ € ^^Ã›_pic.twitter.com/bbroAGTdMw 	7/27/16 17:58	18858	5476	7.58421e+17
Σας ευχαριστούμε για τους εκπληκτικούς μας αστυνομικούς! # MAGApic.twitter.com / UEZorOQhTw 	7/27/16 15:15	45505	16119	7.5838e+17
"""Δικαίωμα του Trump: Οι παράνομες οικογένειες που διέρχονται τα σύνορα έχουν διπλασιαστεί, 51.152 μέχρι στιγμής"" http://bit.ly/2aeaiwaTrumpPence16Ã¥ÃŠâ € ^^Ã›_ "	7/27/16 14:23	14195	6682	7.58367e+17
Μεγάλη νέα δημοσκόπηση - ευχαριστώ!  # MakeAmericaGreatAgainpic.twitter.com / mXovx0TLPC 	7/27/16 13:16	37872	14069	7.5835e+17
Εάν η Ρωσία ή οποιαδήποτε άλλη χώρα ή άτομο έχει 33.000 παράνομα διαγραμμένα μηνύματα ηλεκτρονικού ταχυδρομείου της Χίλαρι Κλίντον, ίσως θα πρέπει να τα μοιραστεί με το FBI! 	7/27/16 12:16	62632	24580	7.58335e+17
Γίνετε μέλος του επόμενου αντιπροέδρου μας, @Mike_Pence στο Ουισκόνσιν απόψε & Μίτσιγκαν Πέμπτη!  ΜΙ: https://www.donaldjtrump.com/schedule/register/waukesha-wi/Ã¥ÃŠâ € ^^Ã›_  WI: https://www.donaldjtrump.com/schedule/register/grand-rapids-mi1/Ã¥ÃŠâ € ^^Ã›_ 	7/27/16 12:03	13457	4118	7.58332e+17
Όχι μια αμερικανική σημαία στη μαζική σκηνή της Δημοκρατικής Εθνικής Συνέλευσης έως ότου οι άνθρωποι άρχισαν να διαμαρτύρονται - τότε μια μικρή. Αξιολύπητο 	7/27/16 9:01	81998	30033	7.58286e+17
"Ο όχι πολύ έξυπνος Αντιπρόεδρος, Τζο Μπάιντεν, μόλις δήλωσε ότι ήθελα να ""βομβαρδίσω"" τον εχθρό. Συγγνώμη Τζο, ήταν ο Τεντ Κρουζ! "	7/27/16 8:57	37845	11668	7.58285e+17
Η στριμμένη Χίλαρι Κλίντον θέλει να πλημμυρίσει τη χώρα μας με Σύριους μετανάστες για τους οποίους δεν γνωρίζουμε τίποτα ή καθόλου. Ο κίνδυνος είναι τεράστιος. ΟΧΙ! 	7/27/16 6:08	53345	16462	7.58243e+17
Ας ελπίσουμε ότι η βίαιη και βίαιη δολοφονία από το ISIS ενός αγαπημένου Γάλλου ιερέα αναγκάζει τους ανθρώπους να αρχίσουν να σκέφτονται ορθολογικά. Γίνετε σκληροί! 	7/27/16 6:01	40461	13213	7.58241e+17
Η Δημοκρατική Σύμβαση έχει αποτίσει σεβασμό στους μεγάλους επαγγελματίες της αστυνομίας και της επιβολής του νόμου της χώρας μας. Χωρίς αναγνώριση - SAD! 	7/27/16 5:50	45379	15377	7.58238e+17
Αστείο πώς ο αποτυχημένος @nytimes σπρώχνει την αφήγηση του Dems ότι η Ρωσία δουλεύει για μένα γιατί ο Πούτιν είπε ότι «ο Τραμπ είναι ιδιοφυΐα» 1η Αμερική! 	7/27/16 5:43	25906	7177	7.58236e+17
Όπως έχω πει, η στριμωγμένη Χίλαρι θα εγκρίνει τη δουλειά που σκοτώνει το TPP μετά τις εκλογές, παρά τις δηλώσεις της για το αντίθετο: κορυφαίο υπέρ 	7/27/16 5:33	22316	6857	7.58234e+17
Ακριβώς όπως έχω προειδοποιήσει από την αρχή, η στριμωγμένη Χίλαρι Κλίντον θα σας προδώσει στο TPP. °â € Ã ›_ 	7/26/16 23:01	22058	9639	7.58135e+17
Πολλοί από τους υποστηρικτές του Bernie έχουν φύγει από την αρένα. Μπέρνι πήγε σπίτι και πήγε για ύπνο; 	7/26/16 22:11	31664	8647	7.58123e+17
Μισώ να το πω, αλλά η Ρεπουμπλικανική Σύμβαση ήταν πολύ πιο ενδιαφέρουσα (με ένα πολύ πιο όμορφο σετ) από τη Δημοκρατική Συνέλευση! 	7/26/16 22:08	46582	10394	7.58122e+17
Ανεξάρτητα από το τι λέει ο Μπιλ Κλίντον και ανεξάρτητα από το πόσο καλά το λέει, τα ψεύτικα μέσα θα το αναγγείλουν ως απίστευτα. Πολύ υπερτιμημένο! 	7/26/16 22:02	40709	10974	7.5812e+17
Δεν έχετε ιδέα ποια είναι η στρατηγική μου για το ISIS και ούτε το ISIS (ένα καλό πράγμα). Παρακαλώ πάρτε τα γεγονότα σας ευθεία - ευχαριστώ. @megynkelly 	7/26/16 21:51	43265	13289	7.58118e+17
Προς το παρόν, έχω μηδενικές επενδύσεις στη Ρωσία. 	7/26/16 18:50	37975	12036	7.58072e+17
Προκειμένου να προσπαθήσει να εκτρέψει τη φρίκη και τη βλακεία της καταστροφής του Wikileakes, οι Ντέμς είπε ότι ίσως είναι η Ρωσία να ασχολείται με τον Τραμπ. Τρελός! 	7/26/16 18:47	33824	10008	7.58071e+17
#CrookedHillary  https://instagram.com/p/BIVl0JHDO2G/Ã¥ÃŠ 	7/26/16 16:07	15450	5854	7.58031e+17
Οι Dems δεν θέλουν να μιλήσουν για το ISIS b / c Οι ξένες επεμβάσεις της Hillary εξαπέλυσαν το ISIS και τα σχέδια προσφύγων της διευκολύνουν να έρθουν εδώ. 	7/26/16 15:48	36823	14176	7.58026e+17
Ο Μπέρνι έχει εξαντληθεί, θέλει απλώς να κλείσει και να πάει στο σπίτι για ύπνο! 	7/26/16 15:27	26215	7397	7.58021e+17
Η εφεύρεση του email έχει αποδειχθεί ότι είναι πολύ άσχημο για τον Crooked Hillary, καθώς έχει αποδείξει ότι είναι τόσο ανίκανη και ψεύτη! 	7/26/16 15:27	37694	12512	7.58021e+17
Ευχαριστώ Νιού Χάμσαϊρ!  # MakeAmericaGreatAgainpic.twitter.com / KRCdV77BQp 	7/26/16 14:20	21016	6409	7.58004e+17
Ελάτε μαζί μας στο Τολέδο του Οχάιο- αύριο το βράδυ στις 8μμ! # TrumpPence16 #MAGA  Εισιτήρια: http://bit.ly/2aetvp7TrumpPenceOHÃ¥ÃŠâ € ^^Ã›_pic.twitter.com/zmGZauCnQF 	7/26/16 13:53	14367	4403	7.57997e+17
Ελάτε μαζί μας αύριο στο Scranton της Πενσυλβανίας στις 3μμ!  # TrumpPence16 #MAGA  Εισιτήρια: http://bit.ly/2aetcdrTrumpPencePAÃ¥ÃŠâ € ^^Ã›_pic.twitter.com/7zMKhhMmhp 	7/26/16 13:43	14549	4453	7.57995e+17
Ο Ποκαχόντας βομβαρδίστηκε χθες βράδυ! Θλιβερό να το παρακολουθώ. 	7/26/16 8:42	32302	8598	7.57919e+17
Γιατί δεν μιλούν οι Δημοκρατικοί για το ISIS, για κακές εμπορικές συναλλαγές, σπασμένα σύνορα, αστυνομία και νόμο και τάξη. Η Ρεπουμπλικανική Σύμβαση ήταν υπέροχη 	7/26/16 8:38	65245	20690	7.57918e+17
Αστείο, αν ακούτε το @FoxNews, οι Δημοκρατικοί δεν είχαν καλή μέρα. Αν ακούσετε τα άλλα δύο, είναι φουγκαν. Τι διαφορά 	7/26/16 8:34	30173	7961	7.57917e+17
Ο Bernie Sanders ξεπούλησε τελείως στη Χάρι Κλίντον. Όλη αυτή η δουλειά, η ενέργεια και τα χρήματα, και τίποτα για να το δείξετε! Χάσιμο χρόνου. 	7/25/16 23:19	66432	23655	7.57777e+17
Η Ελισάβετ Γουόρεν, που συχνά αναφέρεται ως Ποκαχόντας, απλώς με ψευδή παρουσίασε και μίλησε λαμπερά για την Κροατική Χίλαρι, την οποία πάντα μισούσε! 	7/25/16 23:12	42842	11898	7.57776e+17
Λυπημένος που βλέπω τον Bernie Sanders να εγκαταλείπει την επανάστασή του. Καλωσορίζουμε όλους τους ψηφοφόρους που θέλουν να επιδιορθώσουν το πλαστό σύστημα μας και να επαναφέρουν τις δουλειές μας. 	7/25/16 23:04	67181	23918	7.57774e+17
Εάν ο Cory Booker είναι το μέλλον του Δημοκρατικού Κόμματος, δεν έχουν μέλλον! Γνωρίζω περισσότερα για τον Cory παρά για τον εαυτό του. 	7/25/16 22:14	34730	10184	7.57761e+17
Ήμουν στο @FoxNews και συνάντησα τον Juan Williams. Ρώτησε αν μπορούσε να τραβήξει φωτογραφίες μαζί μου. Είπα καλά. Στη συνέχεια σκουπίζει στον αέρα! 	7/25/16 17:57	26775	8336	7.57696e+17
Δύσκολο να πιστέψουμε ότι ο Bernie Sanders έχει κάνει τόσο ολοκληρωμένο. Δεν πήρε τίποτα για όλη την ώρα, ενέργεια και χρήματα. Το V.P. ένα αστείο! 	7/25/16 17:45	30620	9089	7.57693e+17
Ενώ ο Μπερνι έχει εγκαταλείψει εντελώς τον αγώνα του για τον λαό, καλωσορίζουμε όλους τους ψηφοφόρους που θέλουν ένα καλύτερο μέλλον για τους εργαζομένους μας. 	7/25/16 17:33	44862	14880	7.5769e+17
Η Κλίντον πρόδωσε τους ψηφοφόρους Bernie. Ο Kaine υποστηρίζει το TPP, είναι στην τσέπη της Wall Street και υποστήριξε τον πόλεμο στο Ιράκ. 	7/25/16 17:32	24778	8856	7.5769e+17
Ευχαριστώ OHIO! # TrumpPence16  https://www.facebook.com/DonaldTrump/posts/10157370239030725:0Ã¥ÃŠâ € ^^Ã›_pic.twitter.com/WPMBkYjuIm 	7/25/16 17:25	26982	8174	7.57688e+17
Σας ευχαριστώ Roanoke, Βιρτζίνια - επιστρέψτε σύντομα! # TrumpPence16  https://www.facebook.com/DonaldTrump/posts/10157370422355725:0Ã¥ÃŠâ € ^^Ã›_pic.twitter.com/HwqI2iGPDu 	7/25/16 17:24	16046	4318	7.57688e+17
ΚΑΝΤΕ ΑΜΕΡΙΚΗ ΑΣΦΑΛΕΙΑ ΚΑΙ ΜΕΓΑΛΗ ΑΛΛΗ! # TrumpPence16  https://www.facebook.com/DonaldTrump/posts/10157369699375725:0Ã¥ÃŠâ € ^^Ã›_pic.twitter.com/cptBaZbV1v 	7/25/16 14:57	30873	10779	7.57651e+17
#MakeAmericaGreatAgain  https://www.facebook.com/DonaldTrump/posts/10157368945620725:0Ã¥ÃŠâ € ^^Ã›_pic.twitter.com/3ji7a14GSw 	7/25/16 12:46	33399	13468	7.57618e+17
